
2012-05-19 03:22:18 003 62.64 1 1 

2012-05-19 05:30:15 003 65.04 1 1 

2012-05-19 05:42:51 003 61.75 1 1 

2012-05-19 06:40:34 003 63.34 1 1 

2012-05-19 06:48:40 003 61.19 1 1 

2012-05-19 07:06:02 003 65.18 1 1 

2012-05-19 07:08:32 003 60.19 1 1 

2012-05-19 07:09:35 003 63.28 1 1 

2012-05-19 08:23:35 003 60.44 1 1 

2012-05-19 09:05:54 003 58.63 1 1 

2012-05-19 09:17:25 003 66.90 1 1 

2012-05-19 16:21:13 003 60.89 1 1 


2012-05-19 18:03:00 003 62.27 1 1 

2012-05-19 18:08:05 003 66.85 1 1 

2012-05-19 18:09:28 003 59.87 1 2 

2012-05-19 18:11:25 003 65.63 1 2 

2012-05-20 04:34:33 003 58.87 1 1 

2012-05-20 04:39:18 003 64.35 1 1 
 

2012-05-20 08:50:11 003 59.62 1 1 


2012-05-20 09:51:26 003 51.87 1 1 


2012-05-12 02:24:57 004 57.40 1 1 

2012-05-12 02:26:50 004 60.00 1 1 

2012-05-13 10:19:32 004 60.37 1 1 

2012-05-13 10:29:12 004 56.15 1 1 

2012-05-13 11:22:10 004 66.49 1 1 

2012-05-13 11:28:29 004 59.15 1 1 

2012-05-13 13:31:29 004 60.31 1 1 

2012-05-13 13:45:06 004 61.73 1 1 

2012-05-13 15:11:19 004 59.94 1 1 

2012-05-13 15:19:32 004 57.39 1 1 

2012-05-13 15:50:01 004 64.44 1 1 

2012-05-13 15:56:45 004 54.20 1 1 

2012-05-13 16:15:48 004 66.95 1 1 

2012-05-13 16:53:40 004 62.41 1 1 

2012-05-13 17:00:49 004 58.04 1 1 

2012-05-13 17:01:35 004 32.36 1 2 

2012-05-13 17:04:59 004 31.71 1 2 

2012-05-14 01:12:41 004 30.20 1 2 

2012-05-14 01:14:06 004 34.61 1 2 

2012-05-14 04:09:18 004 59.36 1 1 

2012-05-14 06:00:50 004 59.77 1 1 

2012-05-14 18:52:51 004 55.64 1 1 

2012-05-14 18:59:19 004 63.64 1 1 

2012-05-15 11:47:02 004 67.13 1 1 

2012-05-15 12:46:23 004 59.68 1 1 

2012-05-15 12:47:06 004 38.26 1 2 

2012-05-15 12:48:20 004 37.04 1 2 

2012-05-15 13:04:53 004 58.24 1 1 

2012-05-15 13:16:34 004 59.13 1 1 

2012-05-15 14:40:28 004 59.39 1 1 

2012-05-15 14:51:17 004 58.52 1 1 

2012-05-15 15:30:24 004 56.55 1 1 

2012-05-15 15:38:56 004 53.58 1 1 

2012-05-15 16:56:07 004 56.25 1 1 

2012-05-15 17:03:08 004 62.35 1 1 

2012-05-15 17:39:50 004 58.95 1 1 

2012-05-15 17:46:21 004 59.54 1 1 

2012-05-15 13:28:48 004 58.61 1 1 

2012-05-15 13:59:56 004 59.18 1 1 

2012-05-15 16:00:32 004 55.67 1 1 

2012-05-15 17:05:40 004 57.17 1 1 

2012-05-15 17:12:27 004 63.69 1 1 

2012-05-15 01:29:38 004 57.38 1 1 

2012-05-15 01:39:27 004 61.54 1 1 

2012-05-15 02:35:34 004 59.54 1 1 

2012-05-15 02:41:27 004 62.87 1 1 

2012-05-15 08:53:18 004 67.89 1 1 

2012-05-15 09:05:05 004 50.73 1 1 

2012-05-15 16:07:38 004 62.44 1 1 

2012-05-15 16:13:26 004 55.68 1 1 

2012-05-15 18:09:15 004 55.91 1 1 

2012-05-15 18:18:04 004 58.16 1 1 

2012-05-15 18:55:40 004 59.37 1 1 

2012-05-15 19:02:21 004 59.42 1 1 

2012-05-19 16:03:15 004 59.48 1 1 

2012-05-19 16:09:31 004 59.09 1 1 

2012-05-19 01:43:38 004 67.60 1 1 

2012-05-19 01:52:17 004 59.93 1 1 

2012-05-19 03:16:15 004 59.95 1 1 

2012-05-19 03:22:33 004 64.77 1 1 

2012-05-19 05:30:02 004 61.90 1 1 

2012-05-19 05:43:08 004 59.78 1 1 

2012-05-19 06:40:16 004 56.67 1 1 


2012-05-19 07:05:42 004 58.67 1 1 

2012-05-19 08:23:56 004 60.55 1 1 

2012-05-19 09:05:43 004 63.88 1 1 

2012-05-19 09:17:44 004 55.76 1 1 

2012-05-19 16:20:42 004 61.79 1 1 

2012-05-19 16:29:49 004 55.90 1 1 

2012-05-19 18:02:46 004 58.71 1 1 

2012-05-19 18:11:41 004 61.68 1 1 

2012-05-20 04:34:23 004 62.11 1 1 
 

2012-05-20 08:41:01 004 60.06 1 1 

2012-05-20 08:50:29 004 64.43 1 1 

2012-05-20 09:40:54 004 58.48 1 1 

2012-05-20 09:51:44 004 62.07 1 1 

 

2012-05-12 02:27:10 006 33.41 1 1 

2012-05-13 10:19:14 006 41.77 1 1 

2012-05-13 10:29:33 006 32.83 1 1 

